No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
1,menu,9900,RM1.59,38,"informational, navigational",41
2,kantan kota damansara menu,1000,RM0.33,4,informational,11
3,10 grams cyberjaya menu,1000,RM1.39,1,informational,31
4,the hungry beast sunway velocity 2 menu,1000,RM2.82,2,"commercial, transactional",26
5,homst menu,1000,RM1.31,4,"navigational, informational",15
6,red kettle the gardens mall menu,1000,RM0,1,"commercial, navigational, informational",10
7,bidadari turun malam cafe & ruang seni menu,1000,RM1.31,1,"commercial, transactional",24
8,bocado menu,1000,RM0.86,7,"navigational, informational",20
9,potato story menu,1000,RM0.78,6,informational,19
10,shabuyaki by nippon sushi toppen shopping centre menu,1000,RM0,1,"commercial, navigational",24
11,heli lounge bar menu,1000,RM3.64,4,"commercial, transactional",26
12,kuroma buffet & dining menu,1000,RM0.04,1,"navigational, transactional, informational",19
13,positano risto publika menu,1000,RM0,2,informational,11
14,menu super saigon,1000,RM0.94,1,"navigational, commercial",24
15,krispy kreme malaysia menu,1000,RM1.06,9,informational,13
16,loaf adam menu,1000,RM1.31,3,informational,22
17,starbucks malaysia menu with price,1000,RM1.06,12,"commercial, informational",27
18,menu al rawsha,1000,RM0.82,2,informational,10
19,experiment kitchen merab menu,1000,RM0,1,commercial,26
20,the savor kl menu,1000,RM1.43,3,commercial,15
21,kenny hills bakers ioi city mall menu,1000,RM0,3,"navigational, informational",12
22,kfc menu burger,1000,RM1.10,7,informational,13
23,menu fuel shack,1000,RM1.51,7,navigational,14
24,fish market manhattan menu,1000,RM0.98,3,"informational, navigational",20
25,meokja cafe menu,1000,RM0.49,5,"navigational, informational, commercial",15
26,menu bakers cottage,1000,RM1.10,3,,14
27,burger king menu in malaysia,1000,RM1.39,7,informational,24
28,dancing fish restaurant menu,1000,RM0.65,1,"commercial, informational",18
29,all ace menu,1000,RM2.37,2,"informational, navigational",32
30,aloha karaoke sunway pyramid menu,1000,RM0,1,"informational, navigational",24
31,cafe bistrot david menu,1000,RM0,1,informational,23
32,fairymilk ss15 menu,1000,RM6.21,2,informational,26
33,tgsk kuala lumpur menu,1000,RM0,1,commercial,26
34,labu labu menu,1000,RM1.06,4,informational,14
35,experiment kitchen menu,1000,RM0,1,informational,27
36,ramly burger menu,1000,RM0.86,40,"informational, navigational",12
37,betawi indonesian cuisine ttdi menu,1000,RM0.20,12,informational,12
38,menu cu mart,1000,RM1.80,7,informational,12
39,sky51 menu,1000,RM0.82,9,navigational,16
40,boost menu malaysia,1000,RM1.10,6,"commercial, transactional, informational",23
41,teksen restaurant menu,1000,RM1.80,1,"informational, navigational",17
42,emart24 menu,1000,RM1.63,7,navigational,13
43,menu berbuka puasa simple,1000,RM0.90,11,transactional,17
44,mollagaa restaurant menu,1000,RM0.90,2,informational,19
45,china house menu,1000,RM0,1,"informational, navigational",35
46,gloria jean's menu,1000,RM1.23,11,"commercial, informational",11
47,menu top global,1000,RM0.88,2,navigational,26
48,halzan penang menu,1000,RM0,1,commercial,16
49,hayyan huda opah's kitchen menu,1000,RM0,1,informational,14
50,marrybrown menu in malaysia,1000,RM1.55,8,informational,19
51,the red beanbag menu,1000,RM2,1,commercial,24
